date,home_team,away_team,home_score,away_score,tournament,country,neutral,home_elo,away_elo
2018-06-17,Mexico,Germany,1,0,World Cup,Russia,True,1896.0,2029.0
2018-06-17,Brazil,Switzerland,1,1,World Cup,Russia,True,2122.0,1907.0
2018-06-18,Sweden,South Korea,1,0,World Cup,Russia,True,1816.0,1690.0
2018-06-18,England,Tunisia,2,1,World Cup,Russia,True,1956.0,1643.0
2018-06-18,Belgium,Panama,3,0,World Cup,Russia,True,1953.0,1639.0
2018-06-19,Senegal,Poland,2,1,World Cup,Russia,True,1782.0,1793.0
2018-06-19,Japan,Colombia,2,1,World Cup,Russia,True,1732.0,1879.0
2018-06-19,Russia,Egypt,3,1,World Cup,Russia,False,1730.0,1604.0
2018-06-20,Uruguay,Saudi Arabia,1,0,World Cup,Russia,True,1911.0,1551.0
2018-06-20,Portugal,Morocco,1,0,World Cup,Russia,True,1984.0,1695.0
2018-06-20,Spain,Iran,1,0,World Cup,Russia,True,2050.0,1802.0
2018-06-21,France,Peru,1,0,World Cup,Russia,True,2018.0,1860.0
2018-06-21,Australia,Denmark,1,1,World Cup,Russia,True,1744.0,1876.0
2018-06-21,Croatia,Argentina,3,0,World Cup,Russia,True,1943.0,1902.0
2018-06-22,Brazil,Costa Rica,2,0,World Cup,Russia,True,2130.0,1708.0
2018-06-22,Switzerland,Serbia,2,1,World Cup,Russia,True,1929.0,1791.0
2018-06-23,Mexico,South Korea,2,1,World Cup,Russia,True,1910.0,1676.0
2018-06-23,Belgium,Tunisia,5,2,World Cup,Russia,True,1968.0,1628.0
2018-06-23,Germany,Sweden,2,1,World Cup,Russia,True,2043.0,1802.0
2018-06-24,Japan,Senegal,2,2,World Cup,Russia,True,1736.0,1778.0
2018-06-24,England,Panama,6,1,World Cup,Russia,True,1973.0,1622.0
2018-06-24,Colombia,Poland,3,0,World Cup,Russia,True,1919.0,1753.0
2018-06-25,Russia,Uruguay,0,3,World Cup,Russia,False,1690.0,1951.0
2018-06-25,Morocco,Spain,2,2,World Cup,Russia,True,1718.0,2027.0
2018-06-25,Saudi Arabia,Egypt,2,1,World Cup,Russia,True,1586.0,1569.0
2018-06-25,Portugal,Iran,1,1,World Cup,Russia,True,1970.0,1816.0
2018-06-26,Peru,Australia,2,0,World Cup,Russia,True,1891.0,1713.0
2018-06-26,Argentina,Nigeria,2,1,World Cup,Russia,True,1917.0,1702.0
